;F.O.;Tiempo (s);Dev (%);#Best
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Tabu
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
Grasp16pmed11v3.10.2.txt;10481,89432;0,0373413;0,15277;0;9092,80335;0,1429905;0,00000;1;;9092,80335
Grasp17pmed11v3.10.2.txt;9744,01799;0,0413988;0,10012;0;8857,19378;0,3071689;0,00000;1;;8857,19378
Grasp18pmed11v3.10.2.txt;10897,64608;0,0500872;0,22983;0;8861,11882;0,3228054;0,00000;1;;8861,11882
Grasp19pmed11v3.10.2.txt;10813,01758;0,0522697;0,21756;0;8880,86842;0,3072884;0,00000;1;;8880,86842
Grasp20pmed11v3.10.2.txt;10170,93991;0,0389680;0,11889;0;9090,18246;0,1673312;0,00000;1;;9090,18246
Grasp21pmed11v3.10.2.txt;10378,34749;0,0508775;0,17171;0;8857,43726;0,2448195;0,00000;1;;8857,43726
Grasp22pmed11v3.10.2.txt;10172,40111;0,0370524;0,15134;0;8835,24162;0,2941297;0,00000;1;;8835,24162
Grasp23pmed11v3.10.2.txt;10983,34588;0,0487830;0,23797;0;8872,03710;0,2238503;0,00000;1;;8872,03710
Grasp24pmed11v3.10.2.txt;9961,16840;0,0424196;0,09672;0;9082,71894;0,1994659;0,00000;1;;9082,71894
Grasp25pmed11v3.10.2.txt;10595,06540;0,0394729;0,19120;0;8894,47009;0,3053854;0,00000;1;;8894,47009
Grasp26pmed11v3.10.2.txt;11062,29635;0,0368303;0,23647;0;8946,64056;0,3014675;0,00000;1;;8946,64056
Grasp27pmed11v3.10.2.txt;11080,73259;0,0584793;0,23864;0;8945,85197;0,2532130;0,00000;1;;8945,85197
Grasp28pmed11v3.10.2.txt;11795,74637;0,0386474;0,30961;0;9007,09324;0,2262211;0,00000;1;;9007,09324
Grasp29pmed11v3.10.2.txt;10828,55949;0,0501685;0,19590;0;9054,72599;0,1856507;0,00000;1;;9054,72599
Grasp30pmed11v3.10.2.txt;11079,67998;0,0471447;0,24813;0;8877,05515;0,2427230;0,00000;1;;8877,05515
Grasp31pmed11v3.10.2.txt;11835,54831;0,0402728;0,33324;0;8877,28475;0,3291014;0,00000;1;;8877,28475
Grasp32pmed11v3.10.2.txt;11084,55765;0,0437293;0,24640;0;8893,28904;0,2884847;0,00000;1;;8893,28904
Grasp33pmed11v3.10.2.txt;9730,16768;0,0430497;0,09588;0;8878,85037;0,3099334;0,00000;1;;8878,85037
Grasp34pmed11v3.10.2.txt;11457,12737;0,0577707;0,28644;0;8906,06552;0,2932328;0,00000;1;;8906,06552
Grasp35pmed11v3.10.2.txt;11844,90611;0,0404743;0,32765;0;8921,69434;0,2091916;0,00000;1;;8921,69434
Grasp36pmed11v3.10.2.txt;9949,98449;0,0520978;0,10763;0;8983,10889;0,2511389;0,00000;1;;8983,10889
Grasp37pmed11v3.10.2.txt;10651,21388;0,0625877;0,18858;0;8961,30821;0,2347576;0,00000;1;;8961,30821
Grasp38pmed11v3.10.2.txt;10817,13758;0,0370740;0,22463;0;8832,98861;0,3079286;0,00000;1;;8832,98861
Grasp39pmed11v3.10.2.txt;10063,94405;0,0386629;0,13065;0;8900,98861;0,3244623;0,00000;1;;8900,98861
Grasp40pmed11v3.10.2.txt;10101,88478;0,0400729;0,12870;0;8949,98384;0,3443678;0,00000;1;;8949,98384
Grasp41pmed11v3.10.2.txt;10125,69397;0,0387654;0,14188;0;8867,58082;0,2527043;0,00000;1;;8867,58082
Grasp42pmed11v3.10.2.txt;10352,52220;0,0471638;0,16876;0;8857,72874;0,3110119;0,00000;1;;8857,72874
Grasp43pmed11v3.10.2.txt;10745,85262;0,0509893;0,20943;0;8885,05688;0,3463084;0,00000;1;;8885,05688
Grasp44pmed11v3.10.2.txt;10277,38919;0,0398102;0,14556;0;8971,52716;0,1800235;0,00000;1;;8971,52716
Grasp45pmed11v3.10.2.txt;10284,09362;0,0385871;0,09414;0;9399,24293;0,2578431;0,00000;1;;9399,24293
Grasp46pmed11v3.10.2.txt;10483,64041;0,0404200;0,16238;0;9019,10930;0,3373618;0,00000;1;;9019,10930
Grasp47pmed11v3.10.2.txt;10238,22457;0,0382420;0,15581;0;8858,03056;0,2652589;0,00000;1;;8858,03056
Grasp48pmed11v3.10.2.txt;10278,38376;0,0375845;0,13218;0;9078,42498;0,1444627;0,00000;1;;9078,42498
Grasp49pmed11v3.10.2.txt;9657,88818;0,0461827;0,08607;0;8892,49444;0,2620560;0,00000;1;;8892,49444
Grasp50pmed11v3.10.2.txt;10540,75825;0,0389844;0,18214;0;8916,70512;0,2920201;0,00000;1;;8916,70512
